항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
135 Airways,135 에어웨이,,GNL,Grounded
1time,1타임항공,1T,RNX,Grounded
"2 Sqn, No 1 Elementary Flying Training School",No 기초비행훈련스쿨 2편대,,WYT,Grounded
21 Air,21 에어,2I,CSB,Active
213 Flight Unit,213 비행대대,,TFU,Grounded
"223 Flight Unit, State Airline","223 비행대대, 스테이트 에어라인",,CHD,Grounded
224th Flight Unit,224 비행대대,,TTF,Grounded
247 Jet Ltd,247 제트,,TWF,Grounded
"32 (Tr) Squadron, Raf Northolt",영국공군 노솔트 32대대,,NOH,Grounded
3D Aviation,3D 에비에이션,,SEC,Grounded
3Grcomm Ltd (T/A Crest Aviation),3G 알콤 - 크레스트 항공,,CAN,Grounded
40 Mile Air,40마일에어,Q5,MLA,Active
43 Air School,43 비행스쿨,,PIU,Grounded
4D Air,4D 에어,,QRT,Grounded
540 Ghana Ltd.,540 가나,5G,,Active
611897 Alberta Ltd,611897 앨버타,,THD,Active
748 Air Services,748 항공서비스,,IHO,Active
84 Sqn Raf Akrotiri,아크로티리 공군 84연대,,AKG,Grounded
9 Air,9 에어,AQ,JYH,Active
9G Rail Limited,9G 레일,9G,,Grounded
"AA 767, LLC",aa 767,7Q,,Active
AAA - Air Alps Aviation Ges.M.B.H.,AAA - 에어알프스 항공,A6,LPV,Grounded
AB Aviation,AB 항공,Y6,CYK,Grounded
AB Aviation,AB 항공,Y6,,Active
Ababeel Aviation,아바빌항공,,BBE,Active
Abaete Linhas Aereas,아바에테 리나스 아에레스,,ABJ,Active
Aban Air,아반 에어,K5,ABE,Grounded
Abas,아바스,,MRP,Grounded
Abc Aerolineas (Interjet),Abc 아에로리나스,4O,,Active
Abc Air Hungary Ltd,ABC 에어헝가리,,AHU,Grounded
ABC Bedarfsflug Gmbh,ABC 베다피쉬플러그,,FTY,Grounded
Abelag Aviation,아발렉 에비에이션,W9,AAB,Grounded
